Epoch,Train_Accuracy,Val_Accuracy,Loss
4,0.7744975969320418,0.7815484885942241,1122.784879297018
5,0.7786687252533805,0.7827845825373637,1085.70737670362
6,0.7924894787957267,0.7878413304865716,950.7241107970476
8,0.8069078865453096,0.7989661759748287,414.54025319218636
9,0.8111661727718704,0.8046971569839307,403.1033956557512
10,0.80860124013248,0.8095291605798405,398.074067607522
11,0.8099335109694449,0.8067198561636139,393.4956413656473
12,0.811066563737331,0.8040229239240364,390.81749077141285
13,0.8134322783076425,0.8051466456905271,380.6426633745432
14,0.8145279776875762,0.8054837622204742,377.4260095357895
15,0.8160968199815724,0.8058208787504214,376.18602004647255
16,0.816171526757477,0.8049219013372289,374.48249781131744
17,0.8173419329133152,0.8061579952803686,368.8260909765959
18,0.8166322185422218,0.8055961343971233,369.3812250196934
19,0.8171427148442364,0.8040229239240364,363.8579990416765
20,0.8189730308538985,0.8139116754691539,364.22424752265215
21,0.8260577234355156,0.8140240476458029,1239.7614650130272
22,0.8250118285728516,0.8058208787504214,1208.2210211753845
23,0.8249993774435341,0.8198674008315541,1204.3963086605072
24,0.8225465049680006,0.812450837172716,1203.0668214559555
25,0.8235799487013472,0.8172828407686257,1200.6503280997276
26,0.830888761610678,0.8180694460051691,1176.6385046839714
27,0.8323206414821824,0.8198674008315541,1174.3174141049385
28,0.8325945663271659,0.8139116754691539,1172.7066341638565
29,0.8325447618098961,0.8200921451848522,1172.3904809951782
